iter	RMSE
0	2535.637815
1	2344.570869
2	2181.711097
3	2029.175074
4	1898.2069
5	1783.818112
6	1682.819366
7	1596.17248
8	1522.205466
9	1458.247625
10	1408.601303
11	1356.652001
12	1314.697091
13	1280.251111
14	1250.657247
15	1224.87713
16	1202.888484
17	1180.96727
18	1166.12982
19	1149.808405
20	1136.596686
21	1126.235275
22	1117.983394
23	1110.713575
24	1104.832766
25	1099.626275
26	1095.459917
27	1091.973097
28	1089.108895
29	1086.176541
30	1083.704053
31	1080.700094
32	1078.724646
33	1077.068001
34	1075.613853
35	1073.900536
36	1072.919897
37	1072.337394
38	1071.967686
39	1070.91425
40	1070.299064
41	1069.447228
42	1068.755851
43	1068.567073
44	1068.063641
45	1067.765214
46	1067.382894
47	1066.955767
48	1066.472834
49	1066.386337
