iter	Passed	Remaining
0	57	2816
1	65	1576
2	73	1153
3	81	933
4	88	800
5	97	715
6	104	641
7	112	588
8	119	544
9	126	505
10	134	475
11	141	448
12	149	424
13	156	403
14	163	382
15	170	363
16	178	346
17	185	330
18	193	315
19	202	303
20	209	289
21	216	275
22	223	261
23	231	250
24	238	238
25	245	226
26	252	215
27	262	205
28	270	195
29	277	185
30	285	174
31	293	164
32	301	155
33	307	144
34	315	135
35	321	125
36	328	115
37	335	105
38	341	96
39	348	87
40	355	78
41	362	69
42	370	60
43	376	51
44	383	42
45	391	34
46	399	25
47	407	16
48	413	8
49	421	0
